plotID,yearCollected,monthCollected,avgmass,avgCpercent,avgNpercent
BART_032,2016,4,2.710714285714286,NA,NA
BART_032,2016,5,17.387,NA,NA
BART_032,2016,7,1.3942857142857144,NA,NA
BART_032,2016,9,0.6457142857142857,NA,NA
BART_032,2016,10,8.186428571428571,51.8,0.5
BART_032,2016,11,2.64,NA,NA
BART_032,2017,4,1.685625,NA,NA
BART_032,2017,5,11.9175,NA,NA
BART_032,2017,8,0.5256666666666667,NA,NA
BART_032,2017,9,2.246176470588235,NA,NA
BART_032,2017,10,4.694571428571429,NA,NA
BART_032,2017,11,4.819705882352941,NA,NA
BART_032,2018,5,6.117999999999999,NA,NA
BART_032,2018,6,0.8618750000000001,NA,NA
BART_032,2018,7,0.539,NA,NA
BART_032,2018,8,0.2067857142857143,NA,NA
BART_032,2018,9,0.329,NA,NA
BART_032,2018,10,5.261129032258064,NA,NA
BART_032,2018,11,3.915,NA,NA
BART_032,2019,5,8.18,NA,NA
BART_032,2019,6,1.375,NA,NA
BART_032,2019,7,0.5371875,NA,NA
BART_032,2019,8,0.2515,NA,NA
BART_032,2019,9,0.7416666666666667,NA,NA
BART_032,2019,10,4.90030303030303,NA,NA
BART_032,2019,11,9.25375,NA,NA
BART_032,2020,6,1.8505882352941176,NA,NA
BART_032,2020,7,4.643275862068966,NA,NA
BART_032,2020,8,0.43714285714285717,NA,NA
BART_032,2020,9,0.6778947368421052,NA,NA
BART_032,2020,10,3.968518518518519,NA,NA
BART_032,2020,11,3.548235294117647,NA,NA
BART_032,2021,5,24.599090909090908,NA,NA
BART_032,2022,5,13.067,NA,NA
BART_032,2023,5,24.849999999999998,NA,NA
BART_032,2024,5,21.131,NA,NA
BART_033,2016,4,0.44535714285714284,NA,NA
BART_033,2016,5,1.8364285714285713,NA,NA
BART_033,2016,6,21.208333333333332,NA,NA
BART_033,2016,7,0.8928571428571428,NA,NA
BART_033,2016,9,0.8871428571428571,NA,NA
BART_033,2016,10,8.262321428571429,49.95,0.55
BART_033,2016,11,3.0207142857142855,NA,NA
BART_033,2017,4,1.03,NA,NA
BART_033,2017,5,6.995,NA,NA
BART_033,2017,6,1.395,NA,NA
BART_033,2017,8,0.6643333333333333,NA,NA
BART_033,2017,9,1.5341176470588236,NA,NA
BART_033,2017,10,7.815,NA,NA
BART_033,2017,11,5.881666666666666,NA,NA
BART_033,2018,5,1.9032608695652173,NA,NA
BART_033,2018,6,0.6777777777777777,NA,NA
BART_033,2018,7,0.41633333333333333,NA,NA
BART_033,2018,8,0.08857142857142858,NA,NA
BART_033,2018,9,0.1817857142857143,NA,NA
BART_033,2018,10,6.16640625,NA,NA
BART_033,2018,11,6.143666666666666,NA,NA
BART_033,2019,5,2.552,NA,NA
BART_033,2019,6,2.298,NA,NA
BART_033,2019,7,1.245625,NA,NA
BART_033,2019,8,0.5245,NA,NA
BART_033,2019,9,0.8584615384615385,NA,NA
BART_033,2019,10,11.256363636363638,NA,NA
BART_033,2019,11,5.852777777777778,NA,NA
BART_033,2020,6,2.7480555555555557,NA,NA
BART_033,2020,7,30.00844827586207,NA,NA
BART_033,2020,8,0.6508823529411765,NA,NA
BART_033,2020,9,0.6505555555555556,NA,NA
BART_033,2020,10,4.45375,NA,NA
BART_033,2020,11,4.641176470588236,NA,NA
BART_033,2021,5,2.4499999999999997,NA,NA
BART_033,2022,5,4.615,NA,NA
BART_033,2023,5,44.276666666666664,NA,NA
BART_033,2024,5,11.969,NA,NA
BART_034,2016,4,1.3464285714285715,NA,NA
BART_034,2016,5,1.0932142857142857,NA,NA
BART_034,2016,6,46.28,NA,NA
